StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"ACT"," D","2","MONTAGNE","Jessica","Animal Justice Party",8
"ACT"," D","3","MONTAGNE","Jessica","Animal Justice Party",8
"ACT"," D","1","BAILEY","Steven","Katter's Australian Party",15
"ACT"," D","2","BAILEY","Steven","Katter's Australian Party",15
"ACT"," D","3","BAILEY","Steven","Katter's Australian Party",15
"ACT"," D","1","ARNOLD","Joe","Katter's Australian Party",16
"ACT"," D","2","ARNOLD","Joe","Katter's Australian Party",16
"ACT"," D","3","ARNOLD","Joe","Katter's Australian Party",16
"ACT"," D","1","SHEIKH","Simon","Australian Greens",18
"ACT"," D","2","SHEIKH","Simon","Australian Greens",20
"ACT"," D","3","SHEIKH","Simon","Australian Greens",22
"ACT"," D","1","ESGUERRA","Indra","Australian Greens",19
"ACT"," D","2","ESGUERRA","Indra","Australian Greens",21
"ACT"," D","3","ESGUERRA","Indra","Australian Greens",23
"ACT"," D","1","O'CONNOR","Mark","Stable Population Party",1
"ACT"," D","2","O'CONNOR","Mark","Stable Population Party",1
"ACT"," D","3","O'CONNOR","Mark","Stable Population Party",1
"ACT"," D","1","GRAHAM","Greg","Stable Population Party",2
"ACT"," D","2","GRAHAM","Greg","Stable Population Party",2
"ACT"," D","3","GRAHAM","Greg","Stable Population Party",2
"ACT"," D","1","BUCKNELL","Chris","Bullet Train For Australia",5
"ACT"," D","2","BUCKNELL","Chris","Bullet Train For Australia",5
"ACT"," D","3","BUCKNELL","Chris","Bullet Train For Australia",5
"ACT"," D","1","LEMMEY","Michael James","Bullet Train For Australia",6
"ACT"," D","2","LEMMEY","Michael James","Bullet Train For Australia",6
"ACT"," D","3","LEMMEY","Michael James","Bullet Train For Australia",6
"ACT"," D","1","CUBITT","Paul","Drug Law Reform",9
"ACT"," D","2","CUBITT","Paul","Drug Law Reform",9
"ACT"," D","3","CUBITT","Paul","Drug Law Reform",9
"ACT"," D","1","DOWSON","Stacey","Drug Law Reform",10
"ACT"," D","2","DOWSON","Stacey","Drug Law Reform",10
"ACT"," D","3","DOWSON","Stacey","Drug Law Reform",10
"ACT"," D","1","AVERY","Deborah","Sex Party",13
"ACT"," D","2","AVERY","Deborah","Sex Party",13
"ACT"," D","3","AVERY","Deborah","Sex Party",13
"ACT"," D","1","MILLER","Jamie","Sex Party",14
"ACT"," D","2","MILLER","Jamie","Sex Party",14
"ACT"," D","3","MILLER","Jamie","Sex Party",14
"ACT"," D","1","ROSS","Irwin","Rise Up Australia Party",26
"ACT"," D","2","ROSS","Irwin","Rise Up Australia Party",26
"ACT"," D","3","ROSS","Irwin","Rise Up Australia Party",26
"ACT"," D","1","HENRIQUEZ","Jose","Rise Up Australia Party",27
"ACT"," D","2","HENRIQUEZ","Jose","Rise Up Australia Party",27
"ACT"," D","3","HENRIQUEZ","Jose","Rise Up Australia Party",27
"ACT"," D","1","NITSCHKE","Philip","Voluntary Euthanasia Party",11
"ACT"," D","2","NITSCHKE","Philip","Voluntary Euthanasia Party",11
"ACT"," D","3","NITSCHKE","Philip","Voluntary Euthanasia Party",11
"ACT"," D","1","MACDOUGALL","Susan","Voluntary Euthanasia Party",12
"ACT"," D","2","MACDOUGALL","Susan","Voluntary Euthanasia Party",12
"ACT"," D","3","MACDOUGALL","Susan","Voluntary Euthanasia Party",12
"ACT"," D","1","SLATTERY","Wayne Kenneth","Palmer United Party",24
"ACT"," D","2","SLATTERY","Wayne Kenneth","Palmer United Party",24
"ACT"," D","3","SLATTERY","Wayne Kenneth","Palmer United Party",24
"ACT"," D","1","TEERMAN","Paul Gerard","Palmer United Party",25
"ACT"," D","2","TEERMAN","Paul Gerard","Palmer United Party",25
"ACT"," D","3","TEERMAN","Paul Gerard","Palmer United Party",25
"ACT"," D","1","SESELJA","Zed","Liberal",22
"ACT"," D","2","SESELJA","Zed","Liberal",22
"ACT"," D","3","SESELJA","Zed","Liberal",18
"ACT"," D","1","NASH","Merinda","Liberal",23
"ACT"," D","2","NASH","Merinda","Liberal",23
"ACT"," D","3","NASH","Merinda","Liberal",19
"ACT"," D","1","LUNDY","Kate","Australian Labor Party",20
"ACT"," D","2","LUNDY","Kate","Australian Labor Party",18
"ACT"," D","3","LUNDY","Kate","Australian Labor Party",20
"ACT"," D","1","SANT","Chris","Australian Labor Party",21
"ACT"," D","2","SANT","Chris","Australian Labor Party",19
"ACT"," D","3","SANT","Chris","Australian Labor Party",21
