StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
VIC,AL,1,HAMMETT,Geoffrey David,Pirate Party,2
VIC,AM,1,MAZZARELLA,Stephanie,DLP Democratic Labour,2
VIC, A,1,RIGONI,Maria Marcia,Bank Reform Party,3
VIC, D,1,ERWOOD,Mark,Bullet Train For Australia,3
VIC, E,1,KROGER,Helen,Liberal,3
VIC, E,2,KROGER,Helen,Liberal,3
VIC, F,1,CHIPP,Greg,Drug Law Reform,3
VIC, F,2,CHIPP,Greg,Drug Law Reform,3
VIC, F,3,CHIPP,Greg,Drug Law Reform,3
VIC, G,1,MUIR,Ricky,Australian Motoring Enthusiast Party,3
VIC, H,1,DANIELI,Robert,Katter's Australian Party,3
VIC, I,1,COLLYER,David,Australian Democrats,3
VIC, J,1,NALLIAH,Daniel,Rise Up Australia Party,3
VIC, K,1,MUIR,Ricky,Australian Motoring Enthusiast Party,3
VIC, L,1,POON,Bruce,Animal Justice Party,3
VIC, L,2,POON,Bruce,Animal Justice Party,3
VIC, L,3,POON,Bruce,Animal Justice Party,3
VIC, N,1,SHMUEL,Immanuel,Australian Voice Party,3
VIC, O,1,SHMUEL,Immanuel,Australian Voice Party,3
VIC, P,1,ERWOOD,Mark,Bullet Train For Australia,3
VIC, Q,1,PATTEN,Fiona,Sex Party,3
VIC, R,1,COLLYER,David,Australian Democrats,3
VIC, S,1,TRUONG,Thi Viet Huong,The Greens,3
VIC, T,1,ASSANGE,Julian,The Wikileaks Party,3
VIC, U,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),3
VIC, V,1,JONES,Andrew,Country Alliance,3
VIC, W,1,PALMAN,Penny Maree,Palmer United Party,3
VIC, Y,1,COLLYER,David,Australian Democrats,3
VIC, Z,1,RIGONI,Maria Marcia,Bank Reform Party,3
VIC, Z,2,RIGONI,Maria Marcia,Bank Reform Party,3
VIC,AA,1,KAMPMARK,Binoy,The Wikileaks Party,3
VIC,AB,1,ISGRO,Sarina,Australian Democrats,3
VIC,AB,2,ISGRO,Sarina,Australian Democrats,3
VIC,AC,1,CHIPP,Greg,Drug Law Reform,3
VIC,AD,1,TILLEM,Mehmet,Australian Labor Party,3
VIC,AF,1,COLLYER,David,Australian Democrats,3
VIC,AF,2,COLLYER,David,Australian Democrats,3
VIC,AG,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),3
VIC,AH,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),3
VIC,AI,1,FENN,Ashley,Family First,3
VIC,AI,2,FENN,Ashley,Family First,3
VIC,AJ,1,WEBB,Peter,,3
VIC,AK,1,FIFIELD,Mitch,Liberal,3
VIC,AK,3,RICE,Janet,The Greens,3
VIC,AK,2,MARSHALL,Gavin,Australian Labor Party,3
VIC,AL,1,COLLYER,David,Australian Democrats,3
VIC,AM,1,NALLIAH,Daniel,Rise Up Australia Party,3
VIC, A,1,RIGONI,Paul,Bank Reform Party,4
VIC, D,1,PHILLIPS,Steve,Bullet Train For Australia,4
VIC, E,1,CORBOY,Martin Louis,The Nationals,4
VIC, E,2,CORBOY,Martin Louis,The Nationals,4
VIC, F,1,SHERMAN,John,Drug Law Reform,4
VIC, F,2,SHERMAN,John,Drug Law Reform,4
VIC, F,3,SHERMAN,John,Drug Law Reform,4
VIC, G,1,GILL,Craig A,Australian Motoring Enthusiast Party,4
VIC, H,1,COSTABILE,David,Katter's Australian Party,4
VIC, I,1,HOWE,Roger,Australian Democrats,4
VIC, J,1,CRESTANI,Rosalie,Rise Up Australia Party,4
VIC, K,1,GILL,Craig A,Australian Motoring Enthusiast Party,4
VIC, L,1,DAVISON,Sarah,Animal Justice Party,4
VIC, L,2,DAVISON,Sarah,Animal Justice Party,4
VIC, L,3,DAVISON,Sarah,Animal Justice Party,4
VIC, N,1,HUGHES,Vern,Australian Voice Party,4
VIC, O,1,HUGHES,Vern,Australian Voice Party,4
VIC, P,1,PHILLIPS,Steve,Bullet Train For Australia,4
VIC, Q,1,HOPKINS,Ange,Sex Party,4
VIC, R,1,HOWE,Roger,Australian Democrats,4
VIC, S,1,CHRISTOE,Ian J,The Greens,4
VIC, T,1,CANNOLD,Leslie,The Wikileaks Party,4
VIC, U,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),4
VIC, V,1,KERR,Garry,Country Alliance,4
VIC, W,1,FENN,Ashley,Family First,4
VIC, Y,1,HOWE,Roger,Australian Democrats,4
VIC, Z,1,RIGONI,Paul,Bank Reform Party,4
VIC, Z,2,RIGONI,Paul,Bank Reform Party,4
VIC,AA,1,MILES,Joseph,Pirate Party,4
VIC,AB,1,RAINES,Greg,Australian Democrats,4
VIC,AB,2,RAINES,Greg,Australian Democrats,4
VIC,AC,1,SHERMAN,John,Drug Law Reform,4
VIC,AD,1,PSAILA,Lynn,Australian Labor Party,4
VIC,AF,1,HOWE,Roger,Australian Democrats,4
VIC,AF,2,HOWE,Roger,Australian Democrats,4
VIC,AG,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),4
VIC,AH,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),4
VIC,AI,1,MORRIS,Trudie,Family First,4
VIC,AI,2,MORRIS,Trudie,Family First,4
VIC,AJ,1,GUNTER,Lyn,Independent,4
VIC,AK,1,RYAN,Scott,Liberal,4
VIC,AK,3,McCARTHY,Trent Mark,The Greens,4
VIC,AK,2,COLLINS,Jacinta,Australian Labor Party,4
VIC,AL,1,HOWE,Roger,Australian Democrats,4
VIC,AM,1,CRESTANI,Rosalie,Rise Up Australia Party,4
VIC, A,1,ERWOOD,Mark,Bullet Train For Australia,5
VIC, D,1,POON,Bruce,Animal Justice Party,5
VIC, E,1,FENN,Ashley,Family First,5
VIC, E,2,FARRELL,Mark,DLP Democratic Labour,5
VIC, F,1,THORROWGOOD,Roger Hugh,Stop CSG,5
VIC, F,2,THORROWGOOD,Roger Hugh,Stop CSG,5
VIC, F,3,THORROWGOOD,Roger Hugh,Stop CSG,5
VIC, G,1,THORROWGOOD,Roger Hugh,Stop CSG,5
VIC, H,1,PATTEN,Fiona,Sex Party,5
VIC, I,1,ISGRO,Sarina,Australian Democrats,5
VIC, J,1,FARRELL,Mark,DLP Democratic Labour,5
VIC, K,1,EVANS,Darren,Building Australia Party,5
VIC, L,1,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),5
VIC, L,2,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),5
VIC, L,3,TAYLOR,Lloyd,Senator Online (Internet Voting Bills/Issues),5
VIC, N,1,MUIR,Ricky,Australian Motoring Enthusiast Party,5
VIC, O,1,MUIR,Ricky,Australian Motoring Enthusiast Party,5
VIC, P,1,NALLIAH,Daniel,Rise Up Australia Party,5
VIC, Q,1,THORROWGOOD,Roger Hugh,Stop CSG,5
VIC, R,1,ISGRO,Sarina,Australian Democrats,5
VIC, S,1,SEKHON,Gurm,The Greens,5
VIC, T,1,KAMPMARK,Binoy,The Wikileaks Party,5
VIC, U,1,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,5
VIC, V,1,SHAW,Samantha,Australian Independents,5
VIC, W,1,MORRIS,Trudie,Family First,5
VIC, Y,1,ISGRO,Sarina,Australian Democrats,5
VIC, Z,1,DAWSON,Chris,No Carbon Tax Climate Sceptics,5
VIC, Z,2,DAWSON,Chris,No Carbon Tax Climate Sceptics,5
VIC,AA,1,HAMMETT,Geoffrey David,Pirate Party,5
VIC,AB,1,LIVESAY,Robert,Australian Democrats,5
VIC,AB,2,LIVESAY,Robert,Australian Democrats,5
VIC,AC,1,JONES,Andrew,Country Alliance,5
VIC,AD,1,LARKINS,Terry,Australian Labor Party,5
VIC,AF,1,ISGRO,Sarina,Australian Democrats,5
VIC,AF,2,ISGRO,Sarina,Australian Democrats,5
VIC,AG,1,EVANS,Darren,Building Australia Party,5
VIC,AH,1,RIGONI,Maria Marcia,Bank Reform Party,5
VIC,AI,1,FARRELL,Mark,DLP Democratic Labour,5
VIC,AI,2,FARRELL,Mark,DLP Democratic Labour,5
VIC,AJ,1,FARRELL,Mark,DLP Democratic Labour,5
VIC,AK,1,KROGER,Helen,Liberal,5
VIC,AK,3,TRUONG,Thi Viet Huong,The Greens,5
VIC,AK,2,TILLEM,Mehmet,Australian Labor Party,5
VIC,AL,1,ISGRO,Sarina,Australian Democrats,5
VIC,AM,1,JANSON,Vickie,Australian Christians,5
VIC, A,1,PHILLIPS,Steve,Bullet Train For Australia,6
VIC, D,1,DAVISON,Sarah,Animal Justice Party,6
VIC, E,1,MORRIS,Trudie,Family First,6
VIC, E,2,MAZZARELLA,Stephanie,DLP Democratic Labour,6
VIC, F,1,VAN ROSMALEN,Adele,Stop CSG,6
VIC, F,2,VAN ROSMALEN,Adele,Stop CSG,6
VIC, F,3,VAN ROSMALEN,Adele,Stop CSG,6
VIC, G,1,VAN ROSMALEN,Adele,Stop CSG,6
VIC, H,1,HOPKINS,Ange,Sex Party,6
VIC, I,1,RAINES,Greg,Australian Democrats,6
VIC, J,1,MAZZARELLA,Stephanie,DLP Democratic Labour,6
VIC, K,1,WHITE,Samuel,Building Australia Party,6
VIC, L,1,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),6
VIC, L,2,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),6
VIC, L,3,SMITH,Tony,Senator Online (Internet Voting Bills/Issues),6
VIC, N,1,GILL,Craig A,Australian Motoring Enthusiast Party,6
VIC, O,1,GILL,Craig A,Australian Motoring Enthusiast Party,6
VIC, P,1,CRESTANI,Rosalie,Rise Up Australia Party,6
VIC, Q,1,VAN ROSMALEN,Adele,Stop CSG,6
VIC, R,1,RAINES,Greg,Australian Democrats,6
VIC, S,1,HUMPHREYS,Robert,The Greens,6
VIC, T,1,RICE,Janet,The Greens,6
VIC, U,1,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,6
VIC, V,1,WOOD,Yvonne,Australian Independents,6
VIC, W,1,MUIR,Ricky,Australian Motoring Enthusiast Party,6
VIC, Y,1,RAINES,Greg,Australian Democrats,6
VIC, Z,1,RODDA,John,No Carbon Tax Climate Sceptics,6
VIC, Z,2,RODDA,John,No Carbon Tax Climate Sceptics,6
VIC,AA,1,POON,Bruce,Animal Justice Party,6
VIC,AB,1,GRUMMET,Richard,Australian Democrats,6
VIC,AB,2,GRUMMET,Richard,Australian Democrats,6
VIC,AC,1,KERR,Garry,Country Alliance,6
VIC,AD,1,MILETO,Jamie,Australian Labor Party,6
VIC,AF,1,RAINES,Greg,Australian Democrats,6
VIC,AF,2,RAINES,Greg,Australian Democrats,6
VIC,AG,1,WHITE,Samuel,Building Australia Party,6
VIC,AH,1,RIGONI,Paul,Bank Reform Party,6
VIC,AI,1,MAZZARELLA,Stephanie,DLP Democratic Labour,6
VIC,AI,2,MAZZARELLA,Stephanie,DLP Democratic Labour,6
VIC,AJ,1,RIGONI,Maria Marcia,Bank Reform Party,6
VIC,AK,1,CORBOY,Martin Louis,The Nationals,6
VIC,AK,3,CHRISTOE,Ian J,The Greens,6
VIC,AK,2,PSAILA,Lynn,Australian Labor Party,6
VIC,AL,1,RAINES,Greg,Australian Democrats,6
VIC,AM,1,PAPAFOTIOU,Frank,Australian Christians,6
VIC, A,1,DAWSON,Chris,No Carbon Tax Climate Sceptics,7
VIC, D,1,SHMUEL,Immanuel,Australian Voice Party,7
VIC, E,2,FENN,Ashley,Family First,7
VIC, E,1,FARRELL,Mark,DLP Democratic Labour,7
VIC, F,1,EVANS,Darren,Building Australia Party,7
VIC, F,2,EVANS,Darren,Building Australia Party,7
VIC, F,3,EVANS,Darren,Building Australia Party,7
VIC, G,1,RIGONI,Maria Marcia,Bank Reform Party,7
VIC, H,1,FARRELL,Mark,DLP Democratic Labour,7
VIC, I,1,LIVESAY,Robert,Australian Democrats,7
VIC, J,1,FENN,Ashley,Family First,7
VIC, K,1,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,7
VIC, L,1,MUIR,Ricky,Australian Motoring Enthusiast Party,7
VIC, L,2,MUIR,Ricky,Australian Motoring Enthusiast Party,7
VIC, L,3,MUIR,Ricky,Australian Motoring Enthusiast Party,7
VIC, N,1,ERWOOD,Mark,Bullet Train For Australia,7
VIC, O,1,ERWOOD,Mark,Bullet Train For Australia,7
VIC, P,1,SHMUEL,Immanuel,Australian Voice Party,7
VIC, Q,1,EVANS,Darren,Building Australia Party,7
VIC, R,1,LIVESAY,Robert,Australian Democrats,7
VIC, S,1,ASSANGE,Julian,The Wikileaks Party,7
VIC, T,1,McCARTHY,Trent Mark,The Greens,7
VIC, U,1,ERWOOD,Mark,Bullet Train For Australia,7
VIC, V,1,DAWSON,Chris,No Carbon Tax Climate Sceptics,7
VIC, W,1,GILL,Craig A,Australian Motoring Enthusiast Party,7
VIC, Y,1,LIVESAY,Robert,Australian Democrats,7
VIC, Z,1,EVANS,Darren,Building Australia Party,7
VIC, Z,2,EVANS,Darren,Building Australia Party,7
VIC,AA,1,DAVISON,Sarah,Animal Justice Party,7
VIC,AB,1,POON,Bruce,Animal Justice Party,7
VIC,AB,2,POON,Bruce,Animal Justice Party,7
VIC,AC,1,ASSANGE,Julian,The Wikileaks Party,7
VIC,AD,1,RICE,Janet,The Greens,7
VIC,AF,1,LIVESAY,Robert,Australian Democrats,7
VIC,AF,2,LIVESAY,Robert,Australian Democrats,7
VIC,AG,1,COLLYER,David,Australian Democrats,7
VIC,AH,1,SHAW,Samantha,Australian Independents,7
VIC,AI,1,ASSANGE,Julian,The Wikileaks Party,7
VIC,AI,2,ASSANGE,Julian,The Wikileaks Party,7
VIC,AJ,1,RIGONI,Paul,Bank Reform Party,7
VIC,AK,1,RILEY,Matt,Help End Marijuana Prohibition (HEMP) Party,7
VIC,AK,3,SEKHON,Gurm,The Greens,7
VIC,AK,2,LARKINS,Terry,Australian Labor Party,7
VIC,AL,1,LIVESAY,Robert,Australian Democrats,7
VIC,AM,1,DANIELI,Robert,Katter's Australian Party,7
VIC, A,1,RODDA,John,No Carbon Tax Climate Sceptics,8
VIC, D,1,HUGHES,Vern,Australian Voice Party,8
VIC, E,2,MORRIS,Trudie,Family First,8
VIC, E,1,MAZZARELLA,Stephanie,DLP Democratic Labour,8
VIC, F,1,WHITE,Samuel,Building Australia Party,8
VIC, F,2,WHITE,Samuel,Building Australia Party,8
VIC, F,3,WHITE,Samuel,Building Australia Party,8
VIC, G,1,RIGONI,Paul,Bank Reform Party,8
VIC, H,1,MAZZARELLA,Stephanie,DLP Democratic Labour,8
VIC, I,1,GRUMMET,Richard,Australian Democrats,8
VIC, J,1,MORRIS,Trudie,Family First,8
VIC, K,1,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,8
VIC, L,1,GILL,Craig A,Australian Motoring Enthusiast Party,8
VIC, L,2,GILL,Craig A,Australian Motoring Enthusiast Party,8
VIC, L,3,GILL,Craig A,Australian Motoring Enthusiast Party,8
VIC, N,1,PHILLIPS,Steve,Bullet Train For Australia,8
VIC, O,1,PHILLIPS,Steve,Bullet Train For Australia,8
VIC, P,1,HUGHES,Vern,Australian Voice Party,8
VIC, Q,1,WHITE,Samuel,Building Australia Party,8
VIC, R,1,GRUMMET,Richard,Australian Democrats,8
VIC, S,1,CANNOLD,Leslie,The Wikileaks Party,8
VIC, T,1,TRUONG,Thi Viet Huong,The Greens,8
VIC, U,1,PHILLIPS,Steve,Bullet Train For Australia,8
VIC, V,1,RODDA,John,No Carbon Tax Climate Sceptics,8
VIC, W,1,COLLYER,David,Australian Democrats,8
VIC, Y,1,GRUMMET,Richard,Australian Democrats,8
VIC, Z,1,WHITE,Samuel,Building Australia Party,8
VIC, Z,2,WHITE,Samuel,Building Australia Party,8
VIC,AA,1,PATTEN,Fiona,Sex Party,8
VIC,AB,1,DAVISON,Sarah,Animal Justice Party,8
VIC,AB,2,DAVISON,Sarah,Animal Justice Party,8
VIC,AC,1,CANNOLD,Leslie,The Wikileaks Party,8
VIC,AD,1,McCARTHY,Trent Mark,The Greens,8
VIC,AF,1,GRUMMET,Richard,Australian Democrats,8
VIC,AF,2,GRUMMET,Richard,Australian Democrats,8
VIC,AG,1,HOWE,Roger,Australian Democrats,8
VIC,AH,1,WOOD,Yvonne,Australian Independents,8
VIC,AI,1,CANNOLD,Leslie,The Wikileaks Party,8
VIC,AI,2,CANNOLD,Leslie,The Wikileaks Party,8
VIC,AJ,1,DANIELI,Robert,Katter's Australian Party,8
VIC,AK,1,FLETCHER,Ryan William,Help End Marijuana Prohibition (HEMP) Party,8
VIC,AK,3,HUMPHREYS,Robert,The Greens,8
VIC,AK,2,MILETO,Jamie,Australian Labor Party,8
VIC,AL,1,GRUMMET,Richard,Australian Democrats,8
VIC,AM,1,COSTABILE,David,Katter's Australian Party,8
VIC, A,1,TOWNSEND,Dale Phillip,One Nation,9
VIC, D,1,MUIR,Ricky,Australian Motoring Enthusiast Party,9
VIC, E,1,JANSON,Vickie,Australian Christians,9
VIC, E,2,JANSON,Vickie,Australian Christians,9
VIC, F,1,SHMUEL,Immanuel,Australian Voice Party,9
VIC, F,2,SHMUEL,Immanuel,Australian Voice Party,9
VIC, F,3,SHMUEL,Immanuel,Australian Voice Party,9
VIC, G,1,JANSON,Vickie,Australian Christians,9
VIC, H,1,WHELAN,Peter William,Liberal Democrats,9
VIC, I,1,PATTEN,Fiona,Sex Party,9
VIC, J,1,CHIPP,Greg,Drug Law Reform,9
VIC, K,1,HAYES,Clifford,Stable Population Party,9
VIC, L,1,ERWOOD,Mark,Bullet Train For Australia,9
VIC, L,2,ERWOOD,Mark,Bullet Train For Australia,9
VIC, L,3,ERWOOD,Mark,Bullet Train For Australia,9
VIC, N,1,RIGONI,Maria Marcia,Bank Reform Party,9
