StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
NSW, A,1,DEAN,Lynda Susan,Stop CSG,72
NSW, A,1,McNALLY,Kerry,The Australian Republicans,17
NSW, A,1,BLAKE,Jason,The Australian Republicans,18
NSW, A,1,McILROY,Jim,Socialist Alliance,103
NSW, A,1,DARE,Reg,Socialist Alliance,104
NSW, A,1,THOMPSON,Andy,Non-Custodial Parents Party (Equal Parenting),19
NSW, A,1,THOMPSON,Josh,Non-Custodial Parents Party (Equal Parenting),20
NSW, A,1,MOLLOY,Brendan,Pirate Party,58
NSW, A,1,CAMPBELL,David,Pirate Party,59
NSW, A,1,BRYCE,Ian,Secular Party of Australia,21
NSW, A,1,OWEN,Christopher,Secular Party of Australia,22
NSW, A,1,MYERS,Gary,Australian Motoring Enthusiast Party,35
NSW, A,1,KIRKNESS,Daniel,Australian Motoring Enthusiast Party,36
NSW, A,1,HANSON,Pauline,One Nation,10
NSW, A,1,MCCULLOCH,Kate,One Nation,11
NSW, A,1,PLUMB,Aaron,One Nation,12
NSW, A,1,POULSEN,Ron,,105
NSW, A,1,ASH,David,Independent,106
NSW, A,1,NATHAN,Sam,Independent,107
NSW, A,1,La MELA,John,Independent,108
NSW, B,1,LEYONHJELM,David,Liberal Democrats,61
NSW, B,1,PETTETT,Jeffrey Marc,Liberal Democrats,62
NSW, B,1,KOUTALIANOS,Bill,No Carbon Tax Climate Sceptics,1
NSW, B,1,McDOWALL,Mijina,No Carbon Tax Climate Sceptics,2
NSW, B,1,McCAFFREY,Simon,Democratic Labour Party (DLP),22
NSW, B,1,HANNA,Daniel John,Democratic Labour Party (DLP),23
NSW, B,1,FERGUSON,Tim,Senator Online (Internet Voting Bills/Issues),38
NSW, B,1,BARRY,Tony,Senator Online (Internet Voting Bills/Issues),39
NSW, B,1,McKINNON,Don,Senator Online (Internet Voting Bills/Issues),40
NSW, B,1,HIGSON,Shayne,Voluntary Euthanasia Party,59
NSW, B,1,MULHALL,Loredana,Voluntary Euthanasia Party,60
NSW, B,1,WHALAN,Andrew,,77
NSW, B,1,COOPER,Peter Grant,,78
NSW, B,1,FUTTER,BJ,Help End Marijuana Prohibition (HEMP) Party,26
NSW, B,1,OLBOURNE,Jason,Help End Marijuana Prohibition (HEMP) Party,27
NSW, B,1,CARTER,MaryLou,Carers Alliance,85
NSW, B,1,BUCKWALTER,Maree,Carers Alliance,86
NSW, B,1,TRANTER,Kellie,The Wikileaks Party,47
NSW, B,1,BROINOWSKI,Alison,The Wikileaks Party,48
NSW, B,1,BISHOP,Norm,Rise Up Australia Party,20
NSW, B,1,SOMERFIELD,Wayne,Rise Up Australia Party,21
NSW, B,1,JANSSON,James,Future Party,83
NSW, B,1,HAGGERTY,James,Future Party,84
NSW, B,1,PEEBLES,Robyn,Christian Democratic Party (Fred Nile Group),12
NSW, B,1,LIONS,Deborah,Christian Democratic Party (Fred Nile Group),13
NSW, B,1,RAHME,Peter,Christian Democratic Party (Fred Nile Group),14
NSW, B,1,FRASER,Caroline Margaret,Christian Democratic Party (Fred Nile Group),15
NSW, B,1,CLIFFORD,Ross,Christian Democratic Party (Fred Nile Group),16
NSW, B,1,CARR,Bob,Labor,93
NSW, B,1,CAMERON,Doug,Labor,94
NSW, B,1,STEPHENS,Ursula,Labor,95
NSW, B,1,KOLOMEITZ,Glenn,Labor,96
NSW, B,1,NELMES,Nuatali,Labor,97
NSW, B,1,CHHIBBER,Bhupinder Kumar,Labor,98
NSW, B,1,MAILLER,Peter James,Katter's Australian Party,65
NSW, B,1,MAKA,Tony,Katter's Australian Party,66
NSW, B,1,STEVENS,Criselee,Australian Voice,17
NSW, B,1,FRANCIS,Keith,Australian Voice,18
NSW, B,1,BLACK,Richard,Australian Voice,19
NSW, B,1,DUNNE,Graeme,Sex Party,45
NSW, B,1,RAYE,Sue,Sex Party,46
NSW, B,1,LOWE,Bob,Australian Fishing and Lifestyle Party,30
NSW, B,1,DEAN,Tim,Australian Fishing and Lifestyle Party,31
NSW, B,1,FAEHRMANN,Cate,The Greens,105
NSW, B,1,RYAN,James,The Greens,106
NSW, B,1,BLATCHFORD,Penny,The Greens,107
NSW, B,1,HO,Christina,The Greens,108
NSW, B,1,FINDLEY,Amanda,The Greens,109
NSW, B,1,SPIES-BUTCHER,Ben,The Greens,110
NSW, B,1,ADAMSON,Matthew,Palmer United Party,67
NSW, B,1,WRIGHTSON,Suellen Marree,Palmer United Party,68
NSW, B,1,BROWN,Ray,Building Australia Party,3
NSW, B,1,SYMINGTON,Melanie,Building Australia Party,4
NSW, B,1,SIMONDS,Peter,Uniting Australia Party,55
NSW, B,1,WATT,Tanya,Uniting Australia Party,56
NSW, B,1,OBRIEN,Rick,Stop The Greens,57
NSW, B,1,DE LIMA,Joaquim Eduardo,Stop The Greens,58
NSW, B,1,BEIGER,Nicole,Smokers Rights,63
NSW, B,1,WHELAN,James Peter,Smokers Rights,64
NSW, B,1,BOHM,Tim,Bullet Train For Australia,36
NSW, B,1,GLICK,Charlotte Rebecca,Bullet Train For Australia,37
NSW, B,1,PAYNE,Marise,Liberal,99
NSW, B,1,WILLIAMS,John,The Nationals,100
NSW, B,1,SINODINOS,Arthur,Liberal,101
NSW, B,1,HAY,Alan,The Nationals,102
NSW, B,1,CAMERON,Carolyn,Liberal,103
NSW, B,1,CAMERON,Angus,Liberal,104
NSW, B,1,GRECH,Mark,Australian Protectionist Party,34
NSW, B,1,JOHNS,Christian,Australian Protectionist Party,35
NSW, B,1,PEARSON,Mark,Animal Justice Party,43
NSW, B,1,VICKERS,Kate,Animal Justice Party,44
NSW, B,1,WALLBRIDGE,Darrell,Australia First Party,10
NSW, B,1,FRASER,Garth,Australia First Party,11
NSW, B,1,TANKS,Bradley,Australian Independents,41
NSW, B,1,HIRST,Stephen,Australian Independents,42
NSW, B,1,HUNT,Miles,Drug Law Reform,28
NSW, B,1,TRIMINGHAM,Tony,Drug Law Reform,29
NSW, B,1,BEAMS,Nick,Socialist Equality Party,81
NSW, B,1,HAMBIDES,Zac,Socialist Equality Party,82
NSW, B,1,VILLAVER,Ronaldo,Australian Democrats,79
NSW, B,1,WALLACE,Andrew,Australian Democrats,80
NSW, B,1,WANG,Tom,,87
NSW, B,1,O'TOOLE,Daniel,,88
NSW, B,1,ROSSITER,Fiona,Family First Party,24
NSW, B,1,HURLEY,Stan,Family First Party,25
NSW, B,1,BOURKE,William,Stable Population Party,69
NSW, B,1,SPIKE,Kris,Stable Population Party,70
NSW, B,1,HOUSEMAN,Karl Alexander,Shooters and Fishers,5
NSW, B,1,MUIRHEAD,Jim,Shooters and Fishers,6
NSW, B,1,FRASER,Gordon Graham,Stop CSG,53
NSW, B,1,DEAN,Lynda Susan,Stop CSG,54
NSW, B,1,McNALLY,Kerry,The Australian Republicans,51
NSW, B,1,BLAKE,Jason,The Australian Republicans,52
NSW, B,1,McILROY,Jim,Socialist Alliance,91
NSW, B,1,DARE,Reg,Socialist Alliance,92
NSW, B,1,THOMPSON,Andy,Non-Custodial Parents Party (Equal Parenting),49
NSW, B,1,THOMPSON,Josh,Non-Custodial Parents Party (Equal Parenting),50
NSW, B,1,MOLLOY,Brendan,Pirate Party,71
NSW, B,1,CAMPBELL,David,Pirate Party,72
NSW, B,1,BRYCE,Ian,Secular Party of Australia,89
NSW, B,1,OWEN,Christopher,Secular Party of Australia,90
NSW, B,1,MYERS,Gary,Australian Motoring Enthusiast Party,32
NSW, B,1,KIRKNESS,Daniel,Australian Motoring Enthusiast Party,33
NSW, B,1,HANSON,Pauline,One Nation,7
NSW, B,1,MCCULLOCH,Kate,One Nation,8
NSW, B,1,PLUMB,Aaron,One Nation,9
NSW, B,1,POULSEN,Ron,,73
NSW, B,1,ASH,David,Independent,74
NSW, B,1,NATHAN,Sam,Independent,75
NSW, B,1,La MELA,John,Independent,76
NSW, C,1,LEYONHJELM,David,Liberal Democrats,31
NSW, C,1,PETTETT,Jeffrey Marc,Liberal Democrats,32
NSW, C,1,KOUTALIANOS,Bill,No Carbon Tax Climate Sceptics,15
NSW, C,1,McDOWALL,Mijina,No Carbon Tax Climate Sceptics,16
NSW, C,1,McCAFFREY,Simon,Democratic Labour Party (DLP),1
NSW, C,1,HANNA,Daniel John,Democratic Labour Party (DLP),2
NSW, C,1,FERGUSON,Tim,Senator Online (Internet Voting Bills/Issues),43
NSW, C,1,BARRY,Tony,Senator Online (Internet Voting Bills/Issues),44
NSW, C,1,McKINNON,Don,Senator Online (Internet Voting Bills/Issues),45
NSW, C,1,HIGSON,Shayne,Voluntary Euthanasia Party,101
NSW, C,1,MULHALL,Loredana,Voluntary Euthanasia Party,102
NSW, C,1,WHALAN,Andrew,,77
NSW, C,1,COOPER,Peter Grant,,78
NSW, C,1,FUTTER,BJ,Help End Marijuana Prohibition (HEMP) Party,89
NSW, C,1,OLBOURNE,Jason,Help End Marijuana Prohibition (HEMP) Party,90
NSW, C,1,CARTER,MaryLou,Carers Alliance,60
NSW, C,1,BUCKWALTER,Maree,Carers Alliance,61
NSW, C,1,TRANTER,Kellie,The Wikileaks Party,73
NSW, C,1,BROINOWSKI,Alison,The Wikileaks Party,74
NSW, C,1,BISHOP,Norm,Rise Up Australia Party,3
NSW, C,1,SOMERFIELD,Wayne,Rise Up Australia Party,4
NSW, C,1,JANSSON,James,Future Party,79
NSW, C,1,HAGGERTY,James,Future Party,80
NSW, C,1,PEEBLES,Robyn,Christian Democratic Party (Fred Nile Group),8
NSW, C,1,LIONS,Deborah,Christian Democratic Party (Fred Nile Group),9
NSW, C,1,RAHME,Peter,Christian Democratic Party (Fred Nile Group),10
NSW, C,1,FRASER,Caroline Margaret,Christian Democratic Party (Fred Nile Group),11
NSW, C,1,CLIFFORD,Ross,Christian Democratic Party (Fred Nile Group),12
NSW, C,1,CARR,Bob,Labor,55
NSW, C,1,CAMERON,Doug,Labor,56
NSW, C,1,STEPHENS,Ursula,Labor,48
NSW, C,1,KOLOMEITZ,Glenn,Labor,57
NSW, C,1,NELMES,Nuatali,Labor,58
NSW, C,1,CHHIBBER,Bhupinder Kumar,Labor,59
NSW, C,1,MAILLER,Peter James,Katter's Australian Party,27
NSW, C,1,MAKA,Tony,Katter's Australian Party,28
NSW, C,1,STEVENS,Criselee,Australian Voice,64
NSW, C,1,FRANCIS,Keith,Australian Voice,65
NSW, C,1,BLACK,Richard,Australian Voice,66
NSW, C,1,DUNNE,Graeme,Sex Party,103
NSW, C,1,RAYE,Sue,Sex Party,104
NSW, C,1,LOWE,Bob,Australian Fishing and Lifestyle Party,13
NSW, C,1,DEAN,Tim,Australian Fishing and Lifestyle Party,14
NSW, C,1,FAEHRMANN,Cate,The Greens,105
NSW, C,1,RYAN,James,The Greens,106
NSW, C,1,BLATCHFORD,Penny,The Greens,107
NSW, C,1,HO,Christina,The Greens,108
NSW, C,1,FINDLEY,Amanda,The Greens,109
NSW, C,1,SPIES-BUTCHER,Ben,The Greens,110
NSW, C,1,ADAMSON,Matthew,Palmer United Party,37
NSW, C,1,WRIGHTSON,Suellen Marree,Palmer United Party,38
NSW, C,1,BROWN,Ray,Building Australia Party,21
NSW, C,1,SYMINGTON,Melanie,Building Australia Party,22
NSW, C,1,SIMONDS,Peter,Uniting Australia Party,19
NSW, C,1,WATT,Tanya,Uniting Australia Party,20
NSW, C,1,OBRIEN,Rick,Stop The Greens,33
NSW, C,1,DE LIMA,Joaquim Eduardo,Stop The Greens,34
NSW, C,1,BEIGER,Nicole,Smokers Rights,29
NSW, C,1,WHELAN,James Peter,Smokers Rights,30
NSW, C,1,BOHM,Tim,Bullet Train For Australia,17
NSW, C,1,GLICK,Charlotte Rebecca,Bullet Train For Australia,18
NSW, C,1,PAYNE,Marise,Liberal,50
NSW, C,1,WILLIAMS,John,The Nationals,49
NSW, C,1,SINODINOS,Arthur,Liberal,51
NSW, C,1,HAY,Alan,The Nationals,52
NSW, C,1,CAMERON,Carolyn,Liberal,53
NSW, C,1,CAMERON,Angus,Liberal,54
NSW, C,1,GRECH,Mark,Australian Protectionist Party,39
NSW, C,1,JOHNS,Christian,Australian Protectionist Party,40
NSW, C,1,PEARSON,Mark,Animal Justice Party,71
NSW, C,1,VICKERS,Kate,Animal Justice Party,72
NSW, C,1,WALLBRIDGE,Darrell,Australia First Party,41
NSW, C,1,FRASER,Garth,Australia First Party,42
NSW, C,1,TANKS,Bradley,Australian Independents,67
NSW, C,1,HIRST,Stephen,Australian Independents,68
NSW, C,1,HUNT,Miles,Drug Law Reform,87
NSW, C,1,TRIMINGHAM,Tony,Drug Law Reform,88
NSW, C,1,BEAMS,Nick,Socialist Equality Party,85
NSW, C,1,HAMBIDES,Zac,Socialist Equality Party,86
NSW, C,1,VILLAVER,Ronaldo,Australian Democrats,81
NSW, C,1,WALLACE,Andrew,Australian Democrats,82
NSW, C,1,WANG,Tom,,75
NSW, C,1,O'TOOLE,Daniel,,76
NSW, C,1,ROSSITER,Fiona,Family First Party,35
NSW, C,1,HURLEY,Stan,Family First Party,36
NSW, C,1,BOURKE,William,Stable Population Party,99
NSW, C,1,SPIKE,Kris,Stable Population Party,100
NSW, C,1,HOUSEMAN,Karl Alexander,Shooters and Fishers,46
NSW, C,1,MUIRHEAD,Jim,Shooters and Fishers,47
NSW, C,1,FRASER,Gordon Graham,Stop CSG,95
NSW, C,1,DEAN,Lynda Susan,Stop CSG,96
NSW, C,1,McNALLY,Kerry,The Australian Republicans,69
NSW, C,1,BLAKE,Jason,The Australian Republicans,70
NSW, C,1,McILROY,Jim,Socialist Alliance,83
NSW, C,1,DARE,Reg,Socialist Alliance,84
NSW, C,1,THOMPSON,Andy,Non-Custodial Parents Party (Equal Parenting),25
NSW, C,1,THOMPSON,Josh,Non-Custodial Parents Party (Equal Parenting),26
NSW, C,1,MOLLOY,Brendan,Pirate Party,62
NSW, C,1,CAMPBELL,David,Pirate Party,63
NSW, C,1,BRYCE,Ian,Secular Party of Australia,97
NSW, C,1,OWEN,Christopher,Secular Party of Australia,98
NSW, C,1,MYERS,Gary,Australian Motoring Enthusiast Party,23
NSW, C,1,KIRKNESS,Daniel,Australian Motoring Enthusiast Party,24
NSW, C,1,HANSON,Pauline,One Nation,5
NSW, C,1,MCCULLOCH,Kate,One Nation,6
NSW, C,1,PLUMB,Aaron,One Nation,7
NSW, C,1,POULSEN,Ron,,91
NSW, C,1,ASH,David,Independent,92
NSW, C,1,NATHAN,Sam,Independent,93
NSW, C,1,La MELA,John,Independent,94
NSW, D,1,LEYONHJELM,David,Liberal Democrats,91
NSW, D,1,PETTETT,Jeffrey Marc,Liberal Democrats,92
NSW, D,1,KOUTALIANOS,Bill,No Carbon Tax Climate Sceptics,33
NSW, D,1,McDOWALL,Mijina,No Carbon Tax Climate Sceptics,34
NSW, D,1,McCAFFREY,Simon,Democratic Labour Party (DLP),81
NSW, D,1,HANNA,Daniel John,Democratic Labour Party (DLP),82
NSW, D,1,FERGUSON,Tim,Senator Online (Internet Voting Bills/Issues),1
NSW, D,1,BARRY,Tony,Senator Online (Internet Voting Bills/Issues),2
NSW, D,1,McKINNON,Don,Senator Online (Internet Voting Bills/Issues),3
NSW, D,1,HIGSON,Shayne,Voluntary Euthanasia Party,18
NSW, D,1,MULHALL,Loredana,Voluntary Euthanasia Party,19
NSW, D,1,WHALAN,Andrew,,83
NSW, D,1,COOPER,Peter Grant,,84
NSW, D,1,FUTTER,BJ,Help End Marijuana Prohibition (HEMP) Party,29
NSW, D,1,OLBOURNE,Jason,Help End Marijuana Prohibition (HEMP) Party,30
NSW, D,1,CARTER,MaryLou,Carers Alliance,61
NSW, D,1,BUCKWALTER,Maree,Carers Alliance,62
NSW, D,1,TRANTER,Kellie,The Wikileaks Party,52
NSW, D,1,BROINOWSKI,Alison,The Wikileaks Party,53
NSW, D,1,BISHOP,Norm,Rise Up Australia Party,50
NSW, D,1,SOMERFIELD,Wayne,Rise Up Australia Party,51
NSW, D,1,JANSSON,James,Future Party,16
NSW, D,1,HAGGERTY,James,Future Party,17
NSW, D,1,PEEBLES,Robyn,Christian Democratic Party (Fred Nile Group),54
