StateAb,Ticket,TicketNo,Surname,GivenName,Party,Preference
"NT"," C","3","FOLEY","Rowan","Australian Labor Party (Northern Territory) Branch",18
"NT"," C","1","EDWARDS","Joanne Louise","Sex Party",9
"NT"," C","2","EDWARDS","Joanne Louise","Sex Party",9
"NT"," C","3","EDWARDS","Joanne Louise","Sex Party",9
"NT"," C","1","RANDALL","Tracey Lee","Sex Party",10
"NT"," C","2","RANDALL","Tracey Lee","Sex Party",10
"NT"," C","3","RANDALL","Tracey Lee","Sex Party",10
"NT"," C","1","WORK","Vernon","Citizens Electoral Council",23
"NT"," C","2","WORK","Vernon","Citizens Electoral Council",23
"NT"," C","3","WORK","Vernon","Citizens Electoral Council",23
"NT"," C","1","STANKOVIC","Mile","Citizens Electoral Council",24
"NT"," C","2","STANKOVIC","Mile","Citizens Electoral Council",24
"NT"," C","3","STANKOVIC","Mile","Citizens Electoral Council",24
"NT"," C","1","GRAHAM","Matt","Shooters and Fishers",19
"NT"," C","2","GRAHAM","Matt","Shooters and Fishers",19
"NT"," C","3","GRAHAM","Matt","Shooters and Fishers",19
"NT"," C","1","RIGHTON","Christopher James","Shooters and Fishers",20
"NT"," C","2","RIGHTON","Christopher James","Shooters and Fishers",20
"NT"," C","3","RIGHTON","Christopher James","Shooters and Fishers",20
"NT"," C","1","PILE","Jan","Rise Up Australia Party",21
"NT"," C","2","PILE","Jan","Rise Up Australia Party",21
"NT"," C","3","PILE","Jan","Rise Up Australia Party",21
"NT"," C","1","COX","Michael","Rise Up Australia Party",22
"NT"," C","2","COX","Michael","Rise Up Australia Party",22
"NT"," C","3","COX","Michael","Rise Up Australia Party",22
"NT"," C","1","WILLIAMS","Warren H","Australian Greens",13
"NT"," C","2","WILLIAMS","Warren H","Australian Greens",17
"NT"," C","3","WILLIAMS","Warren H","Australian Greens",15
"NT"," C","1","BRAND","Michael","Australian Greens",14
"NT"," C","2","BRAND","Michael","Australian Greens",18
"NT"," C","3","BRAND","Michael","Australian Greens",16
"NT"," C","1","WALCOTT","Phil","Australian Independents",5
"NT"," C","2","WALCOTT","Phil","Australian Independents",5
"NT"," C","3","WALCOTT","Phil","Australian Independents",5
"NT"," C","1","FUTCHER","Lisa","Australian Independents",6
"NT"," C","2","FUTCHER","Lisa","Australian Independents",6
"NT"," C","3","FUTCHER","Lisa","Australian Independents",6
"NT"," D","1","TE WAKE","Douglas","Palmer United Party",5
"NT"," D","1","McCABE","John Brian Douglas","Palmer United Party",6
"NT"," D","1","BELL","Gary","Uniting Australia Party",7
"NT"," D","1","WATT","Kathryn","Uniting Australia Party",8
