Andrew WHALAN Group
Animal Justice Party
Australia First Party
Australian Democrats
Australian Fishing and Lifestyle Party
Australian Independents
Australian Motoring Enthusiast Party
Australian Protectionist Party
Australian Voice
Building Australia Party
Bullet Train For Australia
Carers Alliance
Christian Democratic Party (Fred Nile Group)
Coalition
Democratic Labour Party (DLP)
Drug Law Reform
Family First Party
Future Party
Help End Marijuana Prohibition (HEMP) Party
Katter's Australian Party
Labor
Liberal Democrats
No Carbon Tax Climate Sceptics
Non-Custodial Parents Party (Equal Parenting)
One Nation
Palmer United Party
Pirate Party
Rise Up Australia Party
Secular Party of Australia
Senator Online (Internet Voting Bills/Issues)
Sex Party
Shooters and Fishers
Smokers Rights
Socialist Alliance
Socialist Equality Party
Stable Population Party
Stop CSG
Stop The Greens
The Australian Republicans
The Greens
The Wikileaks Party
Tom WANG Group
Uniting Australia Party
Voluntary Euthanasia Party
