name
Animal Justice Party
Australian Christians
Australian Democrats
Australian Fishing and Lifestyle Party
Australian Independents
Australian Labor Party
Australian Motoring Enthusiast Party
Australian Voice Party
Bank Reform Party
Bob NICHOLLS Group
Building Australia Party
Bullet Train For Australia
Citizens Electoral Council
Coalition
Country Alliance
DLP Democratic Labour
Drug Law Reform
Family First
Help End Marijuana Prohibition (HEMP) Party
Joseph TOSCANO Group
Katter's Australian Party
No Carbon Tax Climate Sceptics
Palmer United Party
Pirate Party
Rise Up Australia Party
Secular Party of Australia
Senator Online (Internet Voting Bills/Issues)
Sex Party
Shooters and Fishers
Socialist Equality Party
Stable Population Party
Stop CSG
The Greens
The Wikileaks Party
