name
Animal Justice Party
Australian Christians
Australian Democrats
Australian Fishing and Lifestyle Party
Australian Greens
Australian Independents
Australian Labor Party
Australian Motoring Enthusiast Party
Building Australia Party
Coalition
Country Alliance
DLP Democratic Labour
Dianah MIEGLICH Group
Drug Law Reform
Family First
Help End Marijuana Prohibition (HEMP) Party
Katter's Australian Party
Liberal Democrats
National Party
Nick Xenophon Group
No Carbon Tax Climate Sceptics
One Nation
Palmer United Party
Ribnga GREEN Group
Rise Up Australia Party
Secular Party of Australia
Sex Party
Shooters and Fishers
Smokers Rights
Socialist Equality Party
Stable Population Party
Voluntary Euthanasia Party
