Animal Justice Party
Australia First Party
Australian Christians
Australian Democrats
Australian Fishing and Lifestyle Party
Australian Independents
Australian Labor Party
Australian Motoring Enthusiast Party
Australian Protectionist Party
Australian Voice
Building Australia Party
Democratic Labour Party (DLP)
Family First
Greg RUDD Group
Help End Marijuana Prohibition (HEMP) Party
Katter's Australian Party
Liberal Democrats
Liberal National Party of Queensland
No Carbon Tax Climate Sceptics
One Nation
Palmer United Party
Peter KEIOSKIE Group
Pirate Party
Rise Up Australia Party
Secular Party of Australia
Senator Online (Internet Voting Bills/Issues)
Sex Party
Shooters and Fishers
Smokers Rights
Socialist Equality Party
Stable Population Party
Stop CSG
Stop The Greens
The Australian Republicans
The Greens
Uniting Australia Party
