name
Australian Christians
Australian Fishing and Lifestyle Party
Australian Greens
Australian Independents
Australian Labor Party
Coalition
Country Alliance
DLP Democratic Labour
Family First
Help End Marijuana Prohibition (HEMP) Party
Katter's Australian Party
Liberal Democrats
No Carbon Tax Climate Sceptics
Palmer United Party
Pirate Party
Rise Up Australia Party
Senator Online (Internet Voting Bills/Issues)
Sex Party
Shooters and Fishers
Smokers Rights
Stable Population Party
Stop The Greens
